bookID,title,authors,average_rating,isbn,isbn13,language_code,# num_pages,ratings_count,text_reviews_count
3,Harry Potter and the Sorcerer's Stone (Harry Potter  #1),J.K. Rowling-Mary GrandPré,4.47,0439554934,9780439554930,eng,320,5629932,70390
41865,Twilight (Twilight  #1),Stephenie Meyer,3.59,0316015849,9780316015844,eng,498,4367341,93619
5907,The Hobbit or There and Back Again,J.R.R. Tolkien,4.26,0618260307,9780618260300,eng,366,2364968,31664
5107,The Catcher in the Rye,J.D. Salinger,3.8,0316769177,9780316769174,eng,277,2318478,42016
960,Angels & Demons (Robert Langdon  #1),Dan Brown,3.88,1416524797,9781416524793,eng,736,2279854,20851
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling-Mary GrandPré,4.55,043965548X,9780439655484,eng,435,2149872,33964
15881,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling-Mary GrandPré,4.41,0439064864,9780439064866,eng,341,2115562,32694
7613,Animal Farm,George Orwell,3.91,0452284244,9780452284241,eng,122,2102616,29469
34,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.35,0618346252,9780618346257,eng,398,2009749,12784
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling-Mary GrandPré,4.49,0439358078,9780439358071,eng,870,1996446,27613
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling-Mary GrandPré,4.56,0439785960,9780439785969,eng,652,1944099,26249
7624,Lord of the Flies,William Golding,3.67,0140283331,9780140283334,eng,182,1861140,24622
18135,Romeo and Juliet,William Shakespeare-Paul Werstine-Barbara A. Mowat,3.74,0743477111,9780743477116,eng,283,1811259,14102
890,Of Mice and Men,John Steinbeck,3.86,0142000671,9780142000670,eng,112,1654353,23959
28187,The Lightning Thief (Percy Jackson and the Olympians  #1),Rick Riordan,4.24,0786838655,9780786838653,eng,377,1645445,45829
13496,A Game of Thrones (A Song of Ice and Fire  #1),George R.R. Martin,4.45,0553588486,9780553588484,eng,848,1598396,37379
865,The Alchemist,Paulo Coelho-Alan R. Clarke-Özdemir İnce,3.85,0061122416,9780061122415,eng,197,1592632,54668
968,The Da Vinci Code (Robert Langdon  #2),Dan Brown,3.82,0307277674,9780307277671,eng,489,1588890,35316
3636,The Giver,Lois Lowry,4.12,0385732554,9780385732550,eng,208,1464909,54469
19063,The Book Thief,Markus Zusak,4.37,0375831002,9780375831003,eng,552,1410666,84237
1934,Little Women,Louisa May Alcott,4.06,0451529308,9780451529305,eng,449,1402458,15525
10210,Jane Eyre,Charlotte Brontë-Michael Mason-João Gaspar Rodrigues-Mécia,4.11,0142437204,9780142437209,eng,532,1328143,26386
19501,Eat  Pray  Love,Elizabeth Gilbert,3.54,0143038419,9780143038412,eng,368,1309623,47291
930,Memoirs of a Geisha,Arthur Golden,4.1,0739326228,9780739326220,eng,434,1301305,19452
24178,Charlotte's Web,E.B. White-Garth Williams-Rosemary Wells,4.16,0064410935,9780064410939,eng,184,1229902,13915
43641,Water for Elephants,Sara Gruen,4.08,1565125606,9781565125605,eng,335,1198632,52449
5129,Brave New World,Aldous Huxley-Felisberto Albuquerque,3.98,0060929871,9780060929879,eng,288,1173739,18665
30119,Where the Sidewalk Ends,Shel Silverstein,4.3,0060513039,9780060513030,eng,176,1094416,9754
15931,The Notebook (The Notebook  #1),Nicholas Sparks,4.08,0553816713,9780553816716,eng,214,1090301,15327
6185,Wuthering Heights,Emily Brontë-Richard J. Dunn-David Timson-Charlotte Brontë-Ruth Golding-Robert Heindel,3.84,0393978893,9780393978896,eng,464,1041597,20192
2956,The Adventures of Huckleberry Finn,Mark Twain-Guy Cardwell-John Seelye,3.81,0142437174,9780142437179,eng,327,1022438,11005
37435,The Secret Life of Bees,Sue Monk Kidd,4.04,0142001740,9780142001745,eng,302,1007862,25677
1618,The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.87,1400032717,9781400032716,eng,226,991627,34202
18405,Gone with the Wind,Margaret Mitchell,4.29,0446675539,9780446675536,eng,1037,964231,14834
4981,Slaughterhouse-Five,Kurt Vonnegut,4.07,0385333846,9780385333849,eng,275,951021,17985
10917,My Sister's Keeper,Jodi Picoult,4.07,0743454537,9780743454537,eng,423,950402,29367
38447,The Handmaid's Tale,Margaret Atwood,4.09,038549081X,9780385490818,eng,344,932832,42096
11588,The Shining (The Shining  #1),Stephen King,4.21,0450040186,9780450040184,eng,447,911271,13460
38709,Holes (Holes  #1),Louis Sachar,3.95,0439244196,9780439244190,eng,233,844072,16773
1617,Night (The Night Trilogy  #1),Elie Wiesel-Marion Wiesel-François Mauriac,4.32,0374500010,9780374500016,eng,115,834287,24227
18490,Frankenstein,Mary Wollstonecraft Shelley-Percy Bysshe Shelley-Maurice Hindle,3.78,0141439475,9780141439471,eng,335,827747,14441
1845,Into the Wild,Jon Krakauer,3.97,0385486804,9780385486804,eng,207,754275,17497
7445,The Glass Castle,Jeannette Walls,4.26,074324754X,9780743247542,eng,288,752358,44620
14050,The Time Traveler's Wife,Audrey Niffenegger,3.96,0965818675,9780965818674,eng,528,747578,31284
1381,The Odyssey,Homer-Robert Fagles-Bernard Knox,3.75,0143039954,9780143039952,eng,541,730272,6249
2998,The Secret Garden,Frances Hodgson Burnett,4.13,0517189607,9780517189603,eng,331,725384,11113
17245,Dracula,Bram Stoker-Nina Auerbach-Kara Shallenberg-David J. Skal,3.99,0393970124,9780393970128,eng,488,724147,13699
5139,The Devil Wears Prada (The Devil Wears Prada  #1),Lauren Weisberger,3.73,0307275558,9780307275554,eng,432,723487,7081
19543,Where the Wild Things Are,Maurice Sendak,4.22,0099408392,9780099408390,eng,37,713336,9878
5297,The Picture of Dorian Gray,Oscar Wilde-Jeffrey Eugenides,4.07,0375751513,9780375751516,eng,367,705175,15856
